Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
2972	8,7,8,8,5,5	0.06240915507078171,0.26341456174850464,0.19241130352020264,0.19241130352020264,0.2210540920495987,0.2210540920495987	2,2,2,2,1,1	4,3,3,3,3,3	107.74124908447266,112.11597442626953,109.62306213378906,109.62306213378906,118.82691955566406,118.82691955566406	0,0,0,0,0,0	0,42,891,1122,1472,1807	0,2,2,0,1,0	0,5,3,0,5,0	0,139,33,0,67,0	0,20,1631,1916,113,2476	0,20,1328,51,98,137	0,0,0,0,0,0	0,0,0,0,0,0	1182.json	
2479	3,3,3,3	0.9312458634376526,0.9312458634376526,0.939502477645874,0.9542380571365356	1,1,1,1	0,0,0,0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,0,0,0	0,629,873,1313	0,0,1,1	0,0,2,2	0,0,8,12	0,1916,40,2476	0,51,34,137	0,0,0,0	0,0,0,0	3371.json	
1095	4	0.2869122624397278	1	0	125.64796447753906	0	0	0	0	0	0	0	0	0	801.json	
2081	5,5,5	0.40400925278663635,0.40400925278663635,0.40400925278663635	1,1,1	1,1,1	120.03731536865234,120.03731536865234,120.03731536865234	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	1781.json	
3110	3,3,13,14,14,14,14,14	0.9476492404937744,0.9476492404937744,0.20605634152889252,0.20881351828575134,0.20881351828575134,0.20881351828575134,0.20881351828575134,0.20881351828575134	1,1,3,3,3,3,3,3	0,0,4,4,4,4,4,4	133.59722900390625,133.59722900390625,96.86152648925781,95.66098022460938,95.66098022460938,95.66098022460938,95.66098022460938,95.66098022460938	0,0,0,0,0,0,0,0	0,25,89,189,190,1029,1260,1945	0,0,15,1,0,0,0,0	0,0,16,2,0,0,0,0	0,0,526,25,0,0,0,0	0,34,7,23,42,1631,1916,2476	0,29,7,23,18,1328,51,137	0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0	2809.json	
2081	6,6,6	0.21988624334335327,0.19154341518878937,0.19154341518878937	1,1,1	2,2,2	116.89459228515625,116.89459228515625,116.89459228515625	0,0,0	0,231,916	0,1,0	0,2,0	0,13,0	0,1916,2476	0,51,137	0,0,0	0,0,0	1139.json	
2919	3,3,3,3	0.6254446506500244,0.6254446506500244,0.6254446506500244,0.6254446506500244	1,1,1,1	1,1,1,1	131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344	0,0,0,0	0,837,1069,1753	0,0,0,0	0,0,0,0	0,0,0,0	0,1631,1916,2476	0,1328,51,137	0,0,0,0	0,0,0,0	2838.json	
2081	22,22,22,23,25,26,28	0.01639813743531704,0.01639813743531704,0.01639813743531704,0.012413550168275833,0.0019660284742712975,0.001727117458358407,8.288412354886532E-4	2,2,2,2,2,2,2	5,5,5,5,6,6,7	87.3897933959961,87.3897933959961,87.3897933959961,86.57425689697266,84.32868194580078,83.6133041381836,81.8582763671875	0,0,0,0,0,0,0	0,231,916,1275,1276,1461,1772	0,0,0,3,3,1,3	0,0,0,5,5,1,4	0,0,0,97,256,22,117	0,1916,2476,23,1,26,18	0,51,137,23,1,26,18	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1421.json	
1165	4	0.5675897002220154	1	0	125.64796447753906	0	0	0	0	0	0	0	0	0	711.json	
757	6	0.6859204769134521	2	1	116.7638931274414	0	0	0	0	0	0	0	0	0	2286.json	
605	4	0.24037298560142517	1	2	121.62992095947266	0	0	0	0	0	0	0	0	0	1170.json	
2914	12,16,20,20,20	0.8647686243057251,0.2700878977775574,0.22194063663482666,0.22194063663482666,0.22194063663482666	4,5,5,5,5	4,6,6,6,6	101.4341812133789,94.25459289550781,90.32533264160156,90.32533264160156,90.32533264160156	0,0,0,0,0	0,250,832,1064,1748	0,5,9,0,0	0,5,14,0,0	0,232,164,0,0	0,381,1631,1916,2476	0,327,1328,51,137	0,0,0,0,0	0,0,0,0,0	1359.json	
3343	3,3,3,3,3,3	0.7745840549468994,0.7719241976737976,0.018765049055218697,0.018765049055218697,0.018765049055218697,0.018765049055218697	1,1,1,1,1,1	0,0,0,0,0,0	132.4454345703125,132.4454345703125,129.14646911621094,129.14646911621094,129.14646911621094,129.14646911621094	0,0,0,0,0,0	0,374,680,1262,1493,2178	0,0,3,0,0,0	0,0,6,0,0,0	0,28,72,0,0,0	0,23,381,1631,1916,2476	0,0,327,1328,51,137	0,0,0,0,0,0	0,1,0,0,0,0	2100.json	
2081	3,3,3	0.6242910623550415,0.6242910623550415,0.6242910623550415	1,1,1	1,1,1	129.93223571777344,129.93223571777344,129.93223571777344	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	2080.json	
2992	17,19	0.028901606798171997,0.02529897727072239	4,4	7,7	90.54330444335938,88.74144744873047	0,0	0,1003	0,0	0,0	0,42	0,185	0,21	0,0	0,0	3874.json	
444	8,11,11	0.11186742782592773,0.057881928980350494,0.057881928980350494	2,2,2	5,6,6	107.90721130371094,101.61045837402344,101.61045837402344	0,0,0	0,2,6	0,5,0	0,7,0	0,128,0	0,1,16	0,1,0	0,0,0	0,1,0	2413.json	
2081	3,3,3	0.8501192331314087,0.8501192331314087,0.8381276726722717	1,1,1	0,0,0	132.4454345703125,132.4454345703125,132.4454345703125	1,1,1	0,231,916	0,0,1	0,0,2	0,0,6	0,1916,2476	0,51,137	0,0,0	0,0,0	1058.json	
2410	3,3,3,3,3	0.42852842807769775,0.42852842807769775,0.3424859046936035,0.3424859046936035,0.3424859046936035	1,1,1,1,1	0,0,0,0,0	130.57513427734375,130.57513427734375,130.57513427734375,130.57513427734375,130.57513427734375	1,1,1,1,1	0,329,337,560,1245	0,0,2,0,0	0,0,4,0,0	0,0,21,0,0	0,1631,36,1916,2476	0,1328,36,51,137	0,0,0,0,0	0,0,0,0,0	213.json	
502	8	0.42522531747817993	3	1	110.01234436035156	0	0	0	0	0	0	0	0	0	3090.json	
2017	4,4,4	0.7819371819496155,0.7819371819496155,0.7819371819496155	1,1,1	1,1,1	124.58238983154297,124.58238983154297,124.58238983154297	0,0,0	0,167,852	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	966.json	
3027	3,3,3,3	0.7529943585395813,0.746884286403656,0.746884286403656,0.746884286403656	1,1,1,1	1,1,1,1	130.57513427734375,130.99049377441406,130.99049377441406,130.99049377441406	0,0,0,0	0,946,1177,1862	0,3,0,0	0,6,0,0	0,49,0,0	0,1631,1916,2476	0,1328,51,137	0,0,0,0	0,0,0,0	1706.json	
2989	4,6,6,6,6,6	0.2906836271286011,0.01029735617339611,0.01029735617339611,0.03614891320466995,0.03614891320466995,0.03614891320466995	1,1,1,1,1,1	2,4,4,4,4,4	123.55950164794922,113.60274505615234,113.60274505615234,113.60274505615234,113.60274505615234,113.60274505615234	0,0,0,0,0,0	0,12,41,908,1139,1824	0,2,0,3,0,0	0,2,0,5,0,0	0,129,0,29,0,0	0,1,237,1631,1916,2476	0,1,46,1328,51,137	0,0,0,0,0,0	0,1,1,0,0,0	2893.json	
2081	4,4,4	0.6467689871788025,0.6467689871788025,0.6467689871788025	1,1,1	0,0,0	125.27178192138672,125.27178192138672,125.27178192138672	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	944.json	
213	3,3	0.5266537666320801,0.18715497851371765	1,1	0,1	133.59722900390625,131.75106811523438	1,1	0,16	0,2	0,4	0,39	0,17	0,17	0,0	0,0	3557.json	
3110	3,3,4,4,4,4,4	0.11781342327594757,0.012487164698541164,0.07600046694278717,0.08976969867944717,0.09212853759527206,0.09212853759527206,0.09212853759527206	1,1,1,1,1,1,1	0,1,3,3,3,3,3	129.7158966064453,128.62307739257812,122.21172332763672,122.21172332763672,122.21172332763672,122.21172332763672,122.21172332763672	0,0,0,0,0,0,0	0,21,62,138,1029,1260,1945	0,1,3,2,1,0,0	0,2,4,4,2,0,0	0,28,65,14,10,0,0	0,24,32,24,1631,1916,2476	0,24,32,24,1328,51,137	0,0,0,0,0,0,0	0,0,0,0,0,0,0	2743.json	
274	18	0.006426860578358173	4	3	90.2789535522461	0	0	0	0	0	0	0	0	0	2638.json	
233	15	0.015501091256737709	1	3	97.78779602050781	0	0	0	0	0	0	0	0	0	1931.json	
618	8	0.01503903791308403	2	3	108.89630126953125	0	0	0	0	0	0	0	0	0	2233.json	
2081	20,20,20,20	0.0539952851831913,0.0539952851831913,0.04428365081548691,0.04428365081548691	3,3,3,3	7,7,8,8	89.12264251708984,89.12264251708984,89.1427993774414,89.1427993774414	0,0,0,0	0,231,384,916	0,0,1,0	0,0,2,0	0,0,38,0	0,1916,257,2476	0,51,255,137	0,0,0,0	0,0,0,0	391.json	
225	7	0.41386979818344116	2	1	112.91594696044922	0	0	0	0	0	0	0	0	0	2330.json	
1095	3	0.9161076545715332	1	0	133.59722900390625	1	0	0	0	0	0	0	0	0	847.json	
135	3	0.8143864870071411	1	1	131.60296630859375	0	0	0	0	0	0	0	0	0	3280.json	
435	23	3.2500960514880717E-4	3	8	85.34003448486328	0	0	0	0	0	0	0	0	0	2373.json	
53	3	0.002185160294175148	1	0	133.59722900390625	0	0	0	0	0	0	0	0	0	1198.json	
1408	3,3	0.6257615089416504,0.6257615089416504	1,1	0,0	130.45266723632812,130.45266723632812	0,0	0,242	0,0	0,0	0,0	0,2476	0,137	0,0	0,0	3462.json	
3110	3,14,14,14,14,14,14,14	0.6264590620994568,0.44601497054100037,0.33574581146240234,0.33574581146240234,0.35234206914901733,0.445882111787796,0.445882111787796,0.445882111787796	1,4,4,4,4,4,4,4	0,6,8,8,8,6,6,6	130.7338104248047,94.66742706298828,94.33589172363281,94.33589172363281,94.33589172363281,95.50172424316406,95.50172424316406,95.50172424316406	0,0,0,0,0,0,0,0	0,30,138,162,169,1029,1260,1945	0,12,3,0,14,14,0,0	0,13,6,0,28,28,0,0	0,396,32,0,56,188,0,0	0,35,4,237,8,1631,1916,2476	0,35,4,46,4,1328,51,137	0,0,0,0,0,0,0,0	0,0,0,1,1,0,0,0	2898.json	
1121	2	0.9474480152130127	1	0	142.4026641845703	0	0	0	0	0	0	0	0	0	3786.json	
2045	16,16,16	0.018997641280293465,0.018997641280293465,0.018997641280293465	2,2,2	7,7,7	94.42631530761719,94.42631530761719,94.42631530761719	0,0,0	0,195,880	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	2924.json	
114	12	0.22524017095565796	2	3	102.04450225830078	0	0	0	0	0	0	0	0	0	1875.json	
1326	3,3	0.3044241666793823,0.3044241666793823	1,1	0,0	129.57785034179688,129.57785034179688	0,0	0,161	0,0	0,0	0,0	0,2476	0,137	0,0	0,0	101.json	
2964	3,3,3,3,3,3	0.9026831388473511,0.8862336277961731,0.8839519619941711,0.8839519619941711,0.8805149793624878,0.8805149793624878	1,1,1,1,1,1	0,0,0,0,0,0	130.85629272460938,130.85629272460938,130.45266723632812,130.45266723632812,130.85629272460938,130.85629272460938	0,0,0,0,0,0	0,301,883,1114,1267,1799	0,2,3,0,3,0	0,4,6,0,6,0	0,20,40,0,64,0	0,381,1631,1916,257,2476	0,327,1328,51,255,137	0,0,0,0,0,0	0,0,0,0,0,0	462.json	
364	18	0.04316503554582596	4	9	89.3670425415039	0	0	0	0	0	0	0	0	0	2954.json	
2017	4,4,3	0.497856080532074,0.497856080532074,0.06498551368713379	1,1,1	1,1,1	126.19583892822266,126.19583892822266,129.69032287597656	0,0,1	0,167,852	0,0,1	0,0,3	0,0,45	0,1916,2476	0,51,137	0,0,0	0,0,0	1449.json	
2331	4,6,6,6	0.5018375515937805,0.3467799127101898,0.3467799127101898,0.3467799127101898	1,1,1,1	2,2,2,2	123.02798461914062,116.4594497680664,116.4594497680664,116.4594497680664	0,0,0,0	0,250,481,1166	0,4,0,0	0,6,0,0	0,29,0,0	0,1631,1916,2476	0,1328,51,137	0,0,0,0	0,0,0,0	3427.json	
1697	15,15	0.008239255286753178,0.008239255286753178	1,1	8,8	95.9057846069336,95.9057846069336	0,0	0,532	0,0	0,0	0,0	0,2476	0,137	0,0	0,0	454.json	
16	15	0.01014842838048935	1	6	94.6244125366211	0	0	0	0	0	0	0	0	0	3198.json	
1095	3	0.8411785364151001	1	0	130.70933532714844	0	0	0	0	0	0	0	0	0	796.json	
1289	3,3	0.537064790725708,0.537064790725708	1,1	1,1	131.28770446777344,131.28770446777344	0,0	0,124	0,0	0,0	0,0	0,2476	0,137	0,0	0,0	3039.json	
2311	3,3,3	0.8772215843200684,0.8772215843200684,0.8772215843200684	1,1,1	1,1,1	129.37762451171875,129.37762451171875,129.37762451171875	0,0,0	0,461,1146	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	3382.json	
2081	13,13,13	0.2035081833600998,0.2035081833600998,0.2035081833600998	3,3,3	5,5,5	98.86029815673828,98.86029815673828,98.86029815673828	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	2932.json	
1912	3,3,3	0.8807427883148193,0.8807427883148193,0.8807427883148193	1,1,1	0,0,0	130.70933532714844,130.70933532714844,130.70933532714844	0,0,0	0,62,747	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	940.json	
290	3	0.9615575671195984	1	0	132.4454345703125	0	0	0	0	0	0	0	0	0	2965.json	
2663	42,39,36,36,33	1.982152898563072E-4,3.233704774174839E-4,0.0035855029709637165,0.0035855029709637165,0.01351697277277708	5,5,3,3,3	24,24,18,18,15	71.25110626220703,72.84522247314453,75.31702423095703,75.31702423095703,77.3643569946289	0,0,0,0,0	0,37,582,674,2096	0,2,30,0,2	0,7,63,0,7	0,148,1221,0,237	0,20,1631,185,3	0,20,1328,21,3	0,0,0,0,0	0,0,0,0,0	3695.json	
2081	3,3,3	0.20863547921180725,0.20863547921180725,0.20863547921180725	1,1,1	1,1,1	130.18594360351562,130.18594360351562,130.18594360351562	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	488.json	
2045	20,20,20,20	0.03092273510992527,0.03092273510992527,0.05088486149907112,0.04639384150505066	5,5,5,5	4,4,4,4	88.37610626220703,88.37610626220703,88.37610626220703,88.45620727539062	0,0,0,0	0,195,719,880	0,0,1,1	0,0,1,2	0,0,26,20	0,1916,147,2476	0,51,147,137	0,0,0,0	0,0,0,0	3451.json	
2081	8,8,8	0.3499973714351654,0.3499973714351654,0.3499973714351654	3,3,3	1,1,1	109.58769226074219,109.58769226074219,109.58769226074219	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	976.json	
3017	4,4,12,12	0.44009920954704285,0.44009920954704285,0.26614126563072205,0.26614126563072205	1,1,1,1	2,2,4,4	122.84404754638672,122.84404754638672,101.79769134521484,101.79769134521484	0,0,0,0	0,69,936,1028	0,0,10,0	0,0,11,0	0,0,324,0	0,237,1631,185	0,46,1328,21	0,0,0,0	0,1,0,0	3734.json	
1326	3,3	0.1787065714597702,0.1787065714597702	1,1	0,0	133.59722900390625,133.59722900390625	1,1	0,161	0,0	0,0	0,0	0,2476	0,137	0,0	0,0	8.json	
1121	30	0.039353903383016586	5	3	103.93750762939453	0	0	0	0	0	0	0	0	0	3804.json	
2255	3,3,3,3	0.902388870716095,0.902388870716095,0.902388870716095,0.902388870716095	1,1,1,1	0,0,0,0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,0,0,0	0,174,405,1090	0,0,0,0	0,0,0,0	0,0,0,0	0,1631,1916,2476	0,1328,51,137	0,0,0,0	0,0,0,0	990.json	
274	18	0.006426860578358173	4	3	90.2789535522461	0	0	0	0	0	0	0	0	0	2637.json	
2957	3,3,3,3	0.9749804735183716,0.9749804735183716,0.9749804735183716,0.9749804735183716	1,1,1,1	1,1,1,1	133.80813598632812,133.80813598632812,133.80813598632812,133.80813598632812	0,0,0,0	0,9,1107,1792	0,0,0,0	0,0,0,0	0,0,0,0	0,237,1916,2476	0,46,51,137	0,0,0,0	0,1,0,0	3125.json	
2255	7,8,8,8	0.603090226650238,0.5189975500106812,0.5189975500106812,0.5189975500106812	2,2,2,2	5,5,5,5	109.72106170654297,107.55785369873047,107.55785369873047,107.55785369873047	0,0,0,0	0,174,405,1090	0,2,0,0	0,3,0,0	0,21,0,0	0,1631,1916,2476	0,1328,51,137	0,0,0,0	0,0,0,0	541.json	
2552	9,13,13,15,16,20,20,20,28,29	0.08794218301773071,0.0025319093838334084,9.119260357692838E-4,4.2992844828404486E-4,5.312032881192863E-4,0.0,0.0,0.0,0.0,0.0	3,4,4,3,3,4,4,4,7,7	3,10,10,10,10,13,13,13,17,19	105.14616394042969,96.15673828125,95.90885925292969,94.22373962402344,92.98039245605469,88.02442169189453,88.02442169189453,88.02442169189453,80.42925262451172,79.40961456298828	0,0,0,0,0,0,0,0,0,0	0,104,141,423,470,575,702,1386,2127,2305	0,8,2,6,9,5,0,0,24,1	0,11,4,11,17,5,0,0,39,1	0,371,68,237,87,234,0,0,517,104	0,31,81,23,1631,53,1916,2476,4,1	0,31,81,23,1328,53,51,137,4,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	2909.json	
444	37,37,41,13,12	0.003995995968580246,0.003995995968580246,0.001072488259524107,0.5271369218826294,0.8335670828819275	7,7,7,2,2	19,19,22,4,2	73.62580108642578,73.62580108642578,71.44708251953125,100.02586364746094,102.21593475341797	0,0,0,0,0	0,6,7,10,17	0,0,5,3,0	0,0,6,37,1	0,0,258,1394,75	0,16,5,4,1	0,0,5,4,1	0,0,0,0,0	0,0,0,0,0	2419.json	
1787	3,3	0.7263667583465576,0.7263667583465576	1,1	0,0	133.59722900390625,133.59722900390625	1,1	0,621	0,0	0,0	0,0	0,2476	0,137	0,0	0,0	1068.json	
738	3	0.14836251735687256	1	0	132.9956512451172	1	0	0	0	0	0	0	0	0	3068.json	
2081	3,3,3	0.7540662288665771,0.7540662288665771,0.7540662288665771	1,1,1	2,2,2	127.76728820800781,127.76728820800781,127.76728820800781	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	2922.json	
483	18,18,18,21,24,24,24	0.01964295282959938,0.01964295282959938,0.023140883073210716,0.011389898136258125,0.00502966670319438,0.00502966670319438,0.005753342527896166	5,5,5,6,7,7,7	5,5,5,6,7,7,7	90.86292266845703,90.86292266845703,90.843994140625,87.32125854492188,84.22443389892578,84.22443389892578,84.22443389892578	0,0,0,0,0,0,0	0,3,4,4,166,174,199	0,0,5,3,3,0,1	0,0,10,3,3,0,2	0,0,78,111,92,0,21	0,10,14,3,16,12,16	0,3,14,3,11,5,16	0,0,0,0,0,0,0	0,0,0,0,0,1,0	2999.json	
2255	3,3,3	0.28670018911361694,0.28670018911361694,0.28670018911361694	1,1,1	0,0,0	127.98577117919922,127.98577117919922,127.98577117919922	0,0,0	0,405,1090	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	3472.json	
752	14,14	0.1650012731552124,0.1588096171617508	4,4	2,2	97.90483856201172,98.2877426147461	0,0	0,66	0,2	0,4	0,32	0,13	0,13	0,0	0,0	2327.json	
2017	11,11,11	0.0669953003525734,0.0669953003525734,0.0669953003525734	2,2,2	6,6,6	102.36054992675781,102.36054992675781,102.36054992675781	0,0,0	0,167,852	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	2936.json	
2663	6,12,12,12	0.06869563460350037,0.025918973609805107,0.025918973609805107,0.025918973609805107	1,3,3,3	3,4,4,4	115.1243667602539,100.09516906738281,100.09516906738281,100.09516906738281	0,0,0,0	0,184,813,1498	0,10,0,0	0,14,0,0	0,227,0,0	0,75,1916,2476	0,75,51,137	0,0,0,0	0,0,0,0	3386.json	
2081	3,3,3	0.3424830138683319,0.3424830138683319,0.3424830138683319	1,1,1	0,0,0	132.4454345703125,132.4454345703125,132.4454345703125	1,1,1	0,231,916	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	752.json	
3074	6,6,6,6,6	0.8868332505226135,0.8797787427902222,0.8797787427902222,0.8797787427902222,0.8797787427902222	2,2,2,2,2	0,0,0,0,0	116.13201141357422,116.3923110961914,116.3923110961914,116.3923110961914,116.3923110961914	0,0,0,0,0	0,83,126,1224,1909	0,1,0,0,0	0,2,0,0,0	0,7,0,0,0	0,22,237,1916,2476	0,17,46,51,137	0,0,0,0,0	0,0,1,0,0	3158.json	
114	14	0.07170701771974564	4	6	94.98777770996094	0	0	0	0	0	0	0	0	0	1929.json	
2255	39,41,40,48,48,48,47	0.0,0.0,0.0,0.0,0.0,0.0,0.0	3,4,3,5,5,5,5	11,12,9,13,13,13,13	75.07986450195312,73.61933898925781,74.73199462890625,70.35128021240234,70.35128021240234,70.35128021240234,70.86504364013672	0,0,0,0,0,0,0	0,96,174,312,405,1090,1307	0,6,12,15,0,0,1	0,6,28,22,0,0,3	0,383,642,405,0,0,61	0,5,1631,68,1916,2476,51	0,5,1328,68,51,137,51	0,0,0,0,0,0,0	0,0,0,0,0,0,0	576.json	
2081	10,10,10	0.05319521576166153,0.05319521576166153,0.05319521576166153	3,3,3	1,1,1	106.85237884521484,106.85237884521484,106.85237884521484	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	3496.json	
1095	13	0.5185701847076416	5	0	100.82111358642578	0	0	0	0	0	0	0	0	0	382.json	
2081	3,3,3	0.8797896504402161,0.8797896504402161,0.8797896504402161	1,1,1	0,0,0	133.59722900390625,133.59722900390625,133.59722900390625	1,1,1	0,231,916	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	1346.json	
2081	3,3,3	0.4490942060947418,0.4490942060947418,0.4490942060947418	1,1,1	2,2,2	130.57513427734375,130.57513427734375,130.57513427734375	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	296.json	
2081	11,18,18,25,25	0.5151067972183228,0.030702445656061172,0.030702445656061172,0.013200465589761734,0.0132190166041255	1,2,2,1,1	6,7,7,10,10	102.17847442626953,91.58872985839844,91.58872985839844,86.30712890625,86.30712890625	0,0,0,0,0	0,105,231,916,1219	0,11,0,23,19	0,17,0,37,38	0,415,0,728,101	0,53,1916,2476,63	0,53,51,137,63	0,0,0,0,0	0,0,0,0,0	1044.json	
1564	23,23,23,23	0.03515929728746414,0.031987838447093964,0.031987838447093964,0.02451488934457302	3,3,3,3	7,7,7,7	86.70642852783203,86.84439849853516,86.84439849853516,86.70642852783203	0,0,0,0	0,64,399,736	0,1,0,1	0,2,0,2	0,7,0,17	0,113,2476,83	0,98,137,83	0,0,0,0	0,0,0,0	2668.json	
2255	13,13,13,13	0.0014281288022175431,0.0014281288022175431,0.0014281288022175431,0.0014281288022175431	1,1,1,1	7,7,7,7	97.58211517333984,97.58211517333984,97.58211517333984,97.58211517333984	0,0,0,0	0,174,405,1090	0,0,0,0	0,0,0,0	0,0,0,0	0,1631,1916,2476	0,1328,51,137	0,0,0,0	0,0,0,0	1010.json	
1198	12,12	0.1102433130145073,0.1102433130145073	4,4	0,0	99.17080688476562,99.17080688476562	0,0	0,33	0,0	0,0	0,0	0,2476	0,137	0,0	0,0	55.json	
389	3,3	0.2595973312854767,0.7099751830101013	1,1	0,0	133.59722900390625,133.59722900390625	0,0	0,1	0,2	0,4	0,14	0,8	0,8	0,0	0,0	2208.json	
2311	15,15,17,17,24	0.00658203661441803,0.005713818594813347,0.006534569431096315,0.006534569431096315,0.011644194833934307	5,5,6,6,8	8,8,8,8,10	93.32322692871094,93.1507568359375,90.72969055175781,90.72969055175781,83.14746856689453	0,0,0,0,0	0,49,230,322,1931	0,1,8,0,10	0,2,14,0,11	0,23,54,0,302	0,3,1631,185,3	0,3,1328,21,3	0,0,0,0,0	0,0,0,0,0	3669.json	
2081	5,5,5,5	0.21342384815216064,0.21924252808094025,0.20550519227981567,0.20550519227981567	1,1,1,1	3,3,3,3	119.48943328857422,119.48943328857422,119.76210021972656,119.76210021972656	0,0,0,0	0,231,422,916	0,0,1,0	0,0,2,0	0,1,7,0	0,1916,86,2476	0,51,71,137	0,0,0,0	0,0,0,0	790.json	
1326	21,21	0.005192288197577,0.005192288197577	2,2	7,7	87.26708984375,87.26708984375	0,0	0,161	0,0	0,0	0,0	0,2476	0,137	0,0	0,0	43.json	
1095	5	0.03307877853512764	1	0	122.03304290771484	0	0	0	0	0	0	0	0	0	658.json	
2663	27,30,38,38,38,38,38,38	3.430437936913222E-4,2.348317066207528E-4,1.9276811508461833E-4,1.9276811508461833E-4,1.8181558698415756E-4,1.835204748203978E-4,1.8399815598968416E-4,1.8399815598968416E-4	5,5,5,5,5,5,5,5	7,7,7,7,7,7,7,7	82.34454345703125,80.52628326416016,76.36758422851562,76.36758422851562,76.36758422851562,76.3006362915039,76.40486145019531,76.40486145019531	0,0,0,0,0,0,0,0	0,401,582,813,1004,1058,1163,1498	0,1,14,0,35,1,1,0	0,3,20,0,70,2,2,0	0,99,308,0,140,7,8,0	0,3,1631,1916,86,40,113,2476	0,3,1328,51,71,34,98,137	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	2660.json	
1697	8,8,7,7,7	0.46644702553749084,0.46642231941223145,0.6720070242881775,0.6720070242881775,0.7919536232948303	2,2,2,2,3	3,3,2,2,1	109.88978576660156,109.88978576660156,114.26665496826172,114.26665496826172,113.06917572021484	0,0,0,0,0	0,38,168,532,1380	0,1,4,0,3	0,2,9,0,6	0,1,123,0,69	0,86,48,2476,2	0,71,48,137,2	0,0,0,0,0	0,0,0,0,0	2531.json	
114	4	0.0012754359049722552	1	1	121.97586059570312	0	0	0	0	0	0	0	0	0	1887.json	
2081	17,17,17	0.003509732661768794,0.003509732661768794,0.003509732661768794	4,4,4	5,5,5	91.9884262084961,91.9884262084961,91.9884262084961	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	306.json	
2081	9,9,9	0.002872178563848138,0.002872178563848138,0.002872178563848138	1,1,1	7,7,7	104.66497039794922,104.66497039794922,104.66497039794922	0,0,0	0,231,916	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	400.json	
828	1	0.9788604378700256	1	0	152.05810546875	0	0	0	0	0	0	0	0	0	2498.json	
2081	3,3,3	0.6667818427085876,0.6667818427085876,0.6667818427085876	1,1,1	0,0,0	132.9956512451172,132.9956512451172,132.9956512451172	1,1,1	0,231,916	0,0,0	0,0,0	0,0,0	0,1916,2476	0,51,137	0,0,0	0,0,0	1557.json	
1226	19,19,19	0.08416692912578583,0.08416692912578583,0.08326827734708786	4,4,4	4,4,4	91.0987548828125,91.0987548828125,91.0987548828125	0,0,0	0,61,364	0,0,2	0,0,4	0,0,12	0,2476,63	0,137,63	0,0,0	0,0,0	1032.json	
1697	3,3,3	0.06509360671043396,0.06075822561979294,0.06075822561979294	1,1,1	0,0,0	133.59722900390625,133.59722900390625,133.59722900390625	1,1,1	0,197,532	0,3,0	0,6,0	0,12,0	0,113,2476	0,98,137	0,0,0	0,0,0	3097.json	
284	3	0.18765681982040405	1	0	129.12539672851562	0	0	0	0	0	0	0	0	0	3001.json	
